date,location,temperature,rainfall,wind_speed
2023-03-26,Mumbai,36.0,8.0,13.7
2023-03-26,Delhi,36.4,17.2,6.7
2023-03-26,Chennai,33.5,6.7,14.9
2023-03-26,Kolkata,36.0,13.3,13.0
2023-03-26,Bangalore,36.6,14.2,8.6
2023-03-26,Hyderabad,30.6,4.3,6.1
2023-03-26,Ahmedabad,37.1,4.8,12.8
2023-03-26,Pune,32.1,4.2,13.9
2023-03-26,Jaipur,39.6,7.8,12.6
2023-03-26,Surat,38.1,11.7,11.4
2023-03-27,Mumbai,38.8,15.4,9.9
2023-03-27,Delhi,32.9,9.5,10.6
2023-03-27,Chennai,36.5,17.0,8.5
2023-03-27,Kolkata,36.2,14.1,7.0
2023-03-27,Bangalore,35.7,13.9,10.6
2023-03-27,Hyderabad,39.7,11.5,8.8
2023-03-27,Ahmedabad,39.6,9.2,10.5
2023-03-27,Pune,32.4,13.7,6.1
2023-03-27,Jaipur,32.6,8.7,11.4
2023-03-27,Surat,32.5,3.6,11.2
2023-03-28,Mumbai,30.8,4.2,6.6
2023-03-28,Delhi,31.0,5.7,6.3
2023-03-28,Chennai,36.1,6.2,11.8
2023-03-28,Kolkata,36.4,9.6,5.5
2023-03-28,Bangalore,38.3,0.1,7.8
2023-03-28,Hyderabad,32.4,15.5,13.3
2023-03-28,Ahmedabad,38.2,8.1,11.1
2023-03-28,Pune,38.3,14.2,11.7
2023-03-28,Jaipur,35.3,17.0,12.9
2023-03-28,Surat,38.4,18.9,14.9
2023-03-29,Mumbai,39.7,7.6,10.1
2023-03-29,Delhi,31.0,12.9,10.7
2023-03-29,Chennai,32.9,16.4,8.8
2023-03-29,Kolkata,31.7,4.6,7.1
2023-03-29,Bangalore,37.2,10.4,12.2
2023-03-29,Hyderabad,39.0,17.1,13.5
2023-03-29,Ahmedabad,38.7,5.0,7.5
2023-03-29,Pune,33.3,0.4,11.4
2023-03-29,Jaipur,35.2,17.9,9.8
2023-03-29,Surat,34.2,9.0,8.6
2023-03-30,Mumbai,32.1,16.3,10.5
2023-03-30,Delhi,35.3,17.1,5.1
2023-03-30,Chennai,31.0,3.6,9.4
2023-03-30,Kolkata,31.5,9.5,9.7
2023-03-30,Bangalore,35.7,4.7,6.5
2023-03-30,Hyderabad,37.6,6.6,10.8
2023-03-30,Ahmedabad,32.3,11.5,14.7
2023-03-30,Pune,39.6,2.8,11.6
2023-03-30,Jaipur,37.1,9.2,9.3
2023-03-30,Surat,34.8,8.7,11.1
2023-03-31,Mumbai,36.8,1.0,14.6
2023-03-31,Delhi,30.9,2.7,8.9
2023-03-31,Chennai,36.8,18.6,11.1
2023-03-31,Kolkata,31.7,7.0,10.0
2023-03-31,Bangalore,34.9,19.5,5.6
2023-03-31,Hyderabad,38.3,12.1,13.8
2023-03-31,Ahmedabad,39.0,13.2,9.0
2023-03-31,Pune,39.1,4.7,7.5
2023-03-31,Jaipur,32.8,7.1,8.9
2023-03-31,Surat,32.5,19.6,10.2
2023-04-01,Mumbai,30.7,12.9,5.6
2023-04-01,Delhi,33.3,7.3,6.9
2023-04-01,Chennai,37.3,7.8,7.3
2023-04-01,Kolkata,38.8,7.4,11.9
2023-04-01,Bangalore,30.6,10.7,7.8
2023-04-01,Hyderabad,39.4,13.5,11.8
2023-04-01,Ahmedabad,39.4,1.1,6.5
2023-04-01,Pune,36.9,9.7,8.2
2023-04-01,Jaipur,36.6,11.3,14.4
2023-04-01,Surat,35.6,16.3,14.2
2023-04-02,Mumbai,39.7,14.8,13.9
2023-04-02,Delhi,36.2,7.4,13.2
2023-04-02,Chennai,33.2,12.6,5.5
2023-04-02,Kolkata,31.5,18.7,10.6
2023-04-02,Bangalore,33.5,8.9,10.8
2023-04-02,Hyderabad,37.8,3.2,6.1
2023-04-02,Ahmedabad,30.3,11.1,6.0
2023-04-02,Pune,34.2,19.5,11.6
2023-04-02,Jaipur,36.6,19.4,10.3
2023-04-02,Surat,33.1,15.0,10.7
2023-04-03,Mumbai,34.4,15.5,6.3
2023-04-03,Delhi,36.8,0.1,7.0
2023-04-03,Chennai,30.2,7.7,7.6
2023-04-03,Kolkata,39.5,4.7,13.6
2023-04-03,Bangalore,35.7,3.9,7.9
2023-04-03,Hyderabad,37.7,11.8,11.8
2023-04-03,Ahmedabad,39.0,7.0,14.7
2023-04-03,Pune,39.4,3.9,8.6
2023-04-03,Jaipur,33.8,13.1,11.6
2023-04-03,Surat,33.1,2.1,8.6
2023-04-04,Mumbai,30.7,20.0,9.4
2023-04-04,Delhi,38.2,6.2,9.2
2023-04-04,Chennai,33.3,12.1,14.6
2023-04-04,Kolkata,32.0,14.8,12.1
2023-04-04,Bangalore,34.4,7.8,14.5
2023-04-04,Hyderabad,32.9,17.3,7.0
2023-04-04,Ahmedabad,37.8,0.3,10.3
2023-04-04,Pune,37.9,10.2,14.8
2023-04-04,Jaipur,34.7,19.6,11.3
2023-04-04,Surat,35.9,0.2,13.7
2023-04-05,Mumbai,38.1,0.5,8.4
2023-04-05,Delhi,30.8,7.0,8.7
2023-04-05,Chennai,35.7,16.6,8.9
2023-04-05,Kolkata,33.5,12.7,6.1
2023-04-05,Bangalore,37.0,0.6,6.7
2023-04-05,Hyderabad,39.8,12.6,7.4
2023-04-05,Ahmedabad,38.6,12.3,6.5
2023-04-05,Pune,33.8,8.1,12.7
2023-04-05,Jaipur,34.3,0.8,14.2
2023-04-05,Surat,34.8,8.8,14.2
2023-04-06,Mumbai,39.1,16.1,6.0
2023-04-06,Delhi,31.7,0.2,14.0
2023-04-06,Chennai,36.4,0.3,6.4
2023-04-06,Kolkata,38.9,0.4,10.3
2023-04-06,Bangalore,33.9,4.4,9.4
2023-04-06,Hyderabad,37.2,6.5,7.6
2023-04-06,Ahmedabad,31.9,10.7,8.0
2023-04-06,Pune,30.9,1.4,8.3
2023-04-06,Jaipur,33.4,5.0,10.3
2023-04-06,Surat,31.2,10.6,6.9
2023-04-07,Mumbai,34.6,4.3,6.9
2023-04-07,Delhi,35.7,7.1,6.7
2023-04-07,Chennai,38.2,19.1,8.5
2023-04-07,Kolkata,33.7,18.0,13.1
2023-04-07,Bangalore,39.6,5.4,7.5
2023-04-07,Hyderabad,30.3,15.7,13.5
2023-04-07,Ahmedabad,36.9,13.5,5.4
2023-04-07,Pune,32.0,18.6,9.4
2023-04-07,Jaipur,30.8,10.6,14.6
2023-04-07,Surat,38.6,17.9,15.0
2023-04-08,Mumbai,32.9,18.3,12.9
2023-04-08,Delhi,35.1,18.2,5.7
2023-04-08,Chennai,34.7,10.2,13.0
2023-04-08,Kolkata,31.8,1.3,8.3
2023-04-08,Bangalore,33.2,1.6,11.2
2023-04-08,Hyderabad,33.0,13.0,10.5
2023-04-08,Ahmedabad,30.7,19.2,10.9
2023-04-08,Pune,33.8,16.7,11.4
2023-04-08,Jaipur,33.4,7.6,6.4
2023-04-08,Surat,31.0,12.5,9.8
2023-04-09,Mumbai,36.3,16.8,14.3
2023-04-09,Delhi,39.5,6.6,14.8
2023-04-09,Chennai,33.3,3.6,9.7
2023-04-09,Kolkata,36.9,1.4,14.7
2023-04-09,Bangalore,39.8,2.9,6.7
2023-04-09,Hyderabad,34.0,3.7,6.7
2023-04-09,Ahmedabad,31.7,5.2,14.7
2023-04-09,Pune,32.9,11.1,5.6
2023-04-09,Jaipur,38.2,7.4,6.3
2023-04-09,Surat,39.9,7.6,11.0
2023-04-10,Mumbai,33.6,10.8,12.3
2023-04-10,Delhi,33.2,13.3,11.9
2023-04-10,Chennai,31.6,5.3,7.7
2023-04-10,Kolkata,39.1,3.1,9.5
2023-04-10,Bangalore,31.8,12.0,14.8
2023-04-10,Hyderabad,34.8,18.1,13.2
2023-04-10,Ahmedabad,32.0,3.4,8.7
2023-04-10,Pune,30.4,14.5,11.5
2023-04-10,Jaipur,39.9,16.7,5.4
2023-04-10,Surat,31.5,18.5,8.6
2023-04-11,Mumbai,38.2,17.8,6.9
2023-04-11,Delhi,34.6,9.5,8.0
2023-04-11,Chennai,33.1,14.6,12.4
2023-04-11,Kolkata,35.2,11.0,13.8
2023-04-11,Bangalore,39.0,3.2,12.5
2023-04-11,Hyderabad,37.9,18.7,5.9
2023-04-11,Ahmedabad,31.3,3.6,10.4
2023-04-11,Pune,39.8,6.6,5.9
2023-04-11,Jaipur,31.5,1.8,6.7
2023-04-11,Surat,35.4,0.4,13.2
2023-04-12,Mumbai,38.9,2.7,11.4
2023-04-12,Delhi,34.3,9.4,8.9
2023-04-12,Chennai,34.0,10.3,8.2
2023-04-12,Kolkata,33.4,13.7,13.1
2023-04-12,Bangalore,34.9,9.9,13.0
2023-04-12,Hyderabad,30.6,0.8,10.3
2023-04-12,Ahmedabad,31.1,5.8,10.8
2023-04-12,Pune,32.5,1.1,11.5
2023-04-12,Jaipur,37.4,17.9,8.8
2023-04-12,Surat,34.0,6.2,6.0
2023-04-13,Mumbai,37.2,2.4,7.8
2023-04-13,Delhi,33.6,12.2,11.4
2023-04-13,Chennai,39.0,13.5,13.9
2023-04-13,Kolkata,33.3,19.9,12.1
2023-04-13,Bangalore,31.5,1.5,7.9
2023-04-13,Hyderabad,37.0,20.0,5.4
2023-04-13,Ahmedabad,31.2,3.9,9.2
2023-04-13,Pune,38.9,17.6,10.4
2023-04-13,Jaipur,35.7,1.3,14.5
2023-04-13,Surat,39.0,11.1,12.2
2023-04-14,Mumbai,39.1,11.8,11.9
2023-04-14,Delhi,35.1,13.9,13.9
2023-04-14,Chennai,31.8,19.5,12.6
2023-04-14,Kolkata,39.4,9.9,6.7
2023-04-14,Bangalore,30.6,19.3,12.4
2023-04-14,Hyderabad,30.5,15.2,6.7
2023-04-14,Ahmedabad,39.3,5.0,12.9
2023-04-14,Pune,38.7,11.2,10.2
2023-04-14,Jaipur,32.2,1.8,14.2
2023-04-14,Surat,35.4,16.4,13.1
2023-04-15,Mumbai,32.8,11.6,12.6
2023-04-15,Delhi,34.7,7.7,5.0
2023-04-15,Chennai,30.4,8.6,12.8
2023-04-15,Kolkata,36.7,1.8,6.5
2023-04-15,Bangalore,30.1,18.7,7.2
2023-04-15,Hyderabad,32.0,4.6,12.5
2023-04-15,Ahmedabad,37.0,2.9,7.0
2023-04-15,Pune,39.1,6.0,9.8
2023-04-15,Jaipur,35.5,14.4,9.5
2023-04-15,Surat,30.8,18.5,6.8
2023-04-16,Mumbai,37.5,6.1,7.6
2023-04-16,Delhi,31.7,15.6,8.0
2023-04-16,Chennai,33.1,0.9,9.0
2023-04-16,Kolkata,38.2,20.0,9.6
2023-04-16,Bangalore,39.2,10.8,8.1
2023-04-16,Hyderabad,36.6,13.7,12.6
2023-04-16,Ahmedabad,39.0,4.5,12.6
2023-04-16,Pune,37.2,9.7,10.0
2023-04-16,Jaipur,31.3,14.1,7.1
2023-04-16,Surat,38.7,6.5,13.9
